date,stock_name,predict
2021/10/29,TSLA,900.598002606936
2021/11/1,TSLA,906.1938972423519
2021/11/2,TSLA,1040.8151807003715
2021/11/3,TSLA,1031.5344328396054
2021/11/4,TSLA,1060.7354830164772
2021/11/5,TSLA,1067.3210466629866
2021/11/8,TSLA,993.7571578117464
2021/11/9,TSLA,1140.4693702491163
2021/11/10,TSLA,1165.609943046681
2021/11/11,TSLA,1217.457742138969
2021/11/12,TSLA,1185.9376751487998
2021/11/15,TSLA,1149.6071079358371
2021/11/16,TSLA,1140.4382023879675
2021/11/17,TSLA,1056.653296613752
2021/11/18,TSLA,1147.0324521233988
2021/11/19,TSLA,1036.0445863530254
2021/11/22,TSLA,959.7192079633681
2021/11/23,TSLA,863.3317257848197
2021/11/24,TSLA,958.2405335046295
2021/11/26,TSLA,1047.8166451246602
2021/11/29,TSLA,1088.2214519841345
2021/11/30,TSLA,1098.6171542316006
2021/12/1,TSLA,1115.2920918958453
2021/12/2,TSLA,1128.7540451744312
2021/12/3,TSLA,1130.9614845982637
2021/12/6,TSLA,1038.0303911345363
2021/12/7,TSLA,1058.992251055166
2021/12/8,TSLA,1015.8804075161094
2021/12/9,TSLA,1091.7037590351079
2021/12/10,TSLA,1148.9539576277998
2021/12/13,TSLA,1040.008499524958
2021/12/14,TSLA,998.3705275052265
2021/12/15,TSLA,987.3356801141857
2021/12/16,TSLA,1004.361798979715
2021/12/17,TSLA,944.993788181601
2021/10/29,KO,54.65463269822758
2021/11/1,KO,54.7558176726397
2021/11/2,KO,54.79457616512283
2021/11/3,KO,54.973171108724266
2021/11/4,KO,56.11728411679224
2021/11/5,KO,56.6946088185528
2021/11/8,KO,56.46248600376085
2021/11/9,KO,56.35280621159526
2021/11/10,KO,56.37551908104404
2021/11/11,KO,56.335356249249564
2021/11/12,KO,56.315984074417905
2021/11/15,KO,56.74504179274334
2021/11/16,KO,56.4700448385913
2021/11/17,KO,56.6337497195214
2021/11/18,KO,56.90124879777749
2021/11/19,KO,56.80940651482016
2021/11/22,KO,56.83134278327771
2021/11/23,KO,56.75916672055242
2021/11/24,KO,56.698956716919504
2021/11/26,KO,56.34601604135023
2021/11/29,KO,55.914035508873845
2021/11/30,KO,55.74569969581757
2021/12/1,KO,55.68630179128565
2021/12/2,KO,55.804731905824774
2021/12/3,KO,55.503597691397836
2021/12/6,KO,54.14141760847519
2021/12/7,KO,54.78801500538939
2021/12/8,KO,52.75070198437336
2021/12/9,KO,52.522594442901614
2021/12/10,KO,53.25215201825575
2021/12/13,KO,53.64043196962843
2021/12/14,KO,54.93779890650651
2021/12/15,KO,55.565202108700895
2021/12/16,KO,55.14876584008449
2021/12/17,KO,55.135032723140064
2021/10/29,NVDA,229.15781866807498
2021/11/1,NVDA,231.08120500200567
2021/11/2,NVDA,234.80833926003976
2021/11/3,NVDA,252.65510860898627
2021/11/4,NVDA,252.0266656329332
2021/11/5,NVDA,252.20865707051195
2021/11/8,NVDA,261.09272374432095
2021/11/9,NVDA,258.8949410517376
2021/11/10,NVDA,268.8838800697386
2021/11/11,NVDA,269.2957313751281
2021/11/12,NVDA,311.58146195026694
2021/11/15,NVDA,314.18179301378
2021/11/16,NVDA,320.48813121489326
2021/11/17,NVDA,314.72181810950275
2021/11/18,NVDA,305.9682019833063
2021/11/19,NVDA,307.7716138611898
2021/11/22,NVDA,309.9342763365992
2021/11/23,NVDA,298.2989586472582
2021/11/24,NVDA,307.6350571186777
2021/11/26,NVDA,297.02432473678056
2021/11/29,NVDA,319.75768285755686
2021/11/30,NVDA,332.71534902491277
2021/12/1,NVDA,329.0127552338109
2021/12/2,NVDA,330.21466613950344
2021/12/3,NVDA,333.221042974956
2021/12/6,NVDA,322.9217494141058
2021/12/7,NVDA,336.1558041665856
2021/12/8,NVDA,329.55642795885916
2021/12/9,NVDA,320.31920285229313
2021/12/10,NVDA,328.83564554224
2021/12/13,NVDA,311.9705058182149
2021/12/14,NVDA,301.69514437344225
2021/12/15,NVDA,327.83852033853947
2021/12/16,NVDA,323.963488542117
2021/12/17,NVDA,310.65556326189363
2021/10/29,PFE,43.103369003197685
2021/11/1,PFE,43.52480887882818
2021/11/2,PFE,43.222425874180914
2021/11/3,PFE,43.32858894491495
2021/11/4,PFE,42.82584886975619
2021/11/5,PFE,43.15397103710948
2021/11/8,PFE,43.78609357631073
2021/11/9,PFE,43.61216616980531
2021/11/10,PFE,44.856383088979655
2021/11/11,PFE,44.74461273124988
2021/11/12,PFE,43.995259295007344
2021/11/15,PFE,47.71117300973909
2021/11/16,PFE,48.58574094932989
2021/11/17,PFE,46.896246985447696
2021/11/18,PFE,49.02572936562779
2021/11/19,PFE,49.4286099434417
2021/11/22,PFE,49.52026882627188
2021/11/23,PFE,49.67089076831645
2021/11/24,PFE,49.29157895509075
2021/11/26,PFE,50.34079477125301
2021/11/29,PFE,51.078009298982735
2021/11/30,PFE,50.43296789261386
2021/12/1,PFE,50.9914221917959
2021/12/2,PFE,50.96615212097828
2021/12/3,PFE,50.619412957029496
2021/12/6,PFE,53.41561468938387
2021/12/7,PFE,52.0490944505407
2021/12/8,PFE,53.35129240624543
2021/12/9,PFE,55.066235422247246
2021/12/10,PFE,52.551709902680486
2021/12/13,PFE,53.62793689500129
2021/12/14,PFE,50.6155982627368
2021/12/15,PFE,50.42798067030064
2021/12/16,PFE,50.721347993224086
2021/12/17,PFE,51.4464011107616
2021/10/29,AAPL,148.63837729659286
2021/11/1,AAPL,147.85507966104075
2021/11/2,AAPL,150.3446716934796
2021/11/3,AAPL,152.82585653774646
2021/11/4,AAPL,152.77667746493358
2021/11/5,AAPL,154.65647088750126
2021/11/8,AAPL,151.66686471569034
2021/11/9,AAPL,149.99307162092833
2021/11/10,AAPL,151.4998299477366
2021/11/11,AAPL,151.04489108503736
2021/11/12,AAPL,151.0752192433602
2021/11/15,AAPL,143.75986329091398
2021/11/16,AAPL,142.29235700573014
2021/11/17,AAPL,142.6133697232827
2021/11/18,AAPL,143.03139785366244
2021/11/19,AAPL,154.52140955577312
